QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:41:10, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:10.347Z, CompletionDateTime=2025-11-11T08:41:12.912Z), pendingTime=103.0 ms, executionTime=2367.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:41:11, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:11.180Z, CompletionDateTime=2025-11-11T08:41:12.720Z), pendingTime=60.0 ms, executionTime=1392.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:41:12, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:12.772Z, CompletionDateTime=2025-11-11T08:41:14.287Z), pendingTime=91.0 ms, executionTime=1327.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q3, submissionTime=2025-11-11 16:41:15, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:15.454Z, CompletionDateTime=2025-11-11T08:41:18.281Z), pendingTime=107.0 ms, executionTime=2636.0 ms, costCents=3.3683635800}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:41:21, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:21.700Z, CompletionDateTime=2025-11-11T08:41:23.414Z), pendingTime=96.0 ms, executionTime=1506.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:41:22, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:22.726Z, CompletionDateTime=2025-11-11T08:41:26.206Z), pendingTime=111.0 ms, executionTime=3268.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:41:46, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:46.689Z, CompletionDateTime=2025-11-11T08:41:48.465Z), pendingTime=57.0 ms, executionTime=1638.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:41:48, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:48.145Z, CompletionDateTime=2025-11-11T08:41:49.572Z), pendingTime=134.0 ms, executionTime=1215.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q3, submissionTime=2025-11-11 16:41:48, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:48.948Z, CompletionDateTime=2025-11-11T08:41:52.187Z), pendingTime=104.0 ms, executionTime=3027.0 ms, costCents=3.3683635455}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:41:54, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:54.810Z, CompletionDateTime=2025-11-11T08:41:56.776Z), pendingTime=98.0 ms, executionTime=1766.0 ms, costCents=0.3236735600}
